Ticker,Name,MarketCAP
FRE.DE,Fresenius SE & Co. KGaA,3657
IFX.DE,Infineon Technologies AG,2575
VOW3.DE,Volkswagen AG,8536
HNR1.DE,Hannover Rück SE,26260
DHL.DE,Deutsche Post AG,3417
SHL.DE,Siemens Healthineers AG,4353
HEI.DE,Heidelberg Materials AG,15435
ALV.DE,Allianz SE,32800
BAS.DE,BASF SE,4074
DBK.DE,Deutsche Bank Aktiengesellschaft,1931
ADS.DE,adidas AG,19585
CON.DE,Continental Aktiengesellschaft,6108
BEI.DE,Beiersdorf Aktiengesellschaft,11485
SY1.DE,Symrise AG,9456
RWE.DE,RWE Aktiengesellschaft,3253
DTG.DE,Daimler Truck Holding AG,3240
BAYN.DE,Bayer Aktiengesellschaft,2016
EOAN.DE,E.ON SE,1448
ENR.DE,Siemens Energy AG,5374
DB1.DE,Deutsche Börse AG,26540
FME.DE,Fresenius Medical Care AG,4156
P911.DE,Dr. Ing. h.c. F. Porsche AG,4360
BMW.DE,Bayerische Motoren Werke Aktiengesellschaft,6636
ZAL.DE,Zalando SE,3183
MRK.DE,Merck KGaA,11530
DTE.DE,Deutsche Telekom AG,3068
AIR.DE,Airbus SE,13486
SIE.DE,Siemens Aktiengesellschaft,18068
MTX.DE,MTU Aero Engines AG,26890
VNA.DE,Vonovia SE,2691
