Ticker,Name,Sector,Industry
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets
MSFT,Microsoft Corporation,Technology,Software - Infrastructure
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals
AXP,American Express Company,Financial Services,Credit Services
V,Visa Inc.,Financial Services,Credit Services
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants
IBM,International Business Machines Corporation,Technology,Information Technology Services
TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General
AAPL,Apple Inc.,Technology,Consumer Electronics
CRM,"Salesforce, Inc.",Technology,Software - Application
BA,The Boeing Company,Industrials,Aerospace & Defense
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail
HON,Honeywell International Inc.,Industrials,Conglomerates
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General
NVDA,NVIDIA Corporation,Technology,Semiconductors
CVX,Chevron Corporation,Energy,Oil & Gas Integrated
MMM,3M Company,Industrials,Conglomerates
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products
DIS,The Walt Disney Company,Communication Services,Entertainment
WMT,Walmart Inc.,Consumer Defensive,Discount Stores
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic
VZ,Verizon Communications Inc.,Communication Services,Telecom Services
