Ticker,Company
A2A.MI,A2A
AMP.MI,AMPLIFON
AZM.MI,AZIMUT
BAMI.MI,BANCO BPM
BC.MI,BRUNELLO CUCINELLI
BMED.MI,BANCA MEDIOLANUM
BMPS.MI,BANCA MONTE PASCHI SIENA
BPE.MI,BPER BANCA
BPSO.MI,BCA POP SONDRIO
BZU.MI,BUZZI
CPR.MI,CAMPARI
DIA.MI,DIASORIN
ENEL.MI,ENEL
ENI.MI,ENI
FBK.MI,FINECOBANK
G.MI,GENERALI
HER.MI,HERA
IG.MI,ITALGAS
INW.MI,INWIT
IP.MI,INTERPUMP GROUP
ISP.MI,INTESA SANPAOLO
IVG.MI,IVECO GROUP
LDO.MI,LEONARDO
MB.MI,MEDIOBANCA
MONC.MI,MONCLER
NEXI.MI,NEXI
PIRC.MI,PIRELLI & C
PRY.MI,PRYSMIAN
PST.MI,POSTE ITALIANE
RACE.MI,FERRARI
REC.MI,RECORDATI ORD
SPM.MI,SAIPEM
SRG.MI,SNAM
STLAM.MI,STELLANTIS
STMMI.MI,STMICROELECTRONICS
TEN.MI,TENARIS
TIT.MI,TELECOM ITALIA
TRN.MI,TERNA
UCG.MI,UNICREDIT
UNI.MI,UNIPOL
