Ticker,Name
^GSPC,S&P 500
^SP500EW,S&P 500 Equal Weighted
^SP400EW,S&P MidCap 400 Equal Weighted
^SP400V,S&P MidCap 400 Value
^SP600EW,S&P SmallCap 600 Equal Weighted
^DJI,Dow Jones Industrial Average
^IXIC,NASDAQ Composite
^NYA,NYSE Composite
^XAX,NYSE American Composite
^RUT,Russell 2000
^VIX,CBOE Volatility Index (VIX)
^OEX,S&P 100
^NDX,NASDAQ 100
^NDXE,NASDAQ 100 Equal Weighted
^DJT,Dow Jones Transportation Average
^DJU,Dow Jones Utility Average
^DJUSRE,Dow Jones U.S. Real Estate Index
DX-Y.NYB, US Dollar Index
^RUI,Russel 1000
^RUT, Russel 2000
^RUA, Russel 3000
