Ticker,Name,Sector,Industry
AAPL,Apple Inc.,Technology,Consumer Electronics
ABNB,Airbnb Inc.,Consumer Cyclical,Travel Services
ADBE,Adobe Inc.,Technology,Software - Application
ADI,Analog Devices Inc.,Technology,Semiconductors
ADP,Automatic Data Processing Inc.,Technology,Software - Application
ADSK,Autodesk Inc.,Technology,Software - Application
AEP,American Electric Power Company Inc.,Utilities,Utilities - Regulated Electric
AMAT,Applied Materials Inc.,Technology,Semiconductor Equipment & Materials
AMD,Advanced Micro Devices Inc.,Technology,Semiconductors
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail
APP,AppLovin Corporation,Communication Services,Advertising Agencies
ARM,Arm Holdings plc,Technology,Semiconductors
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials
AVGO,Broadcom Inc.,Technology,Semiconductors
AXON,Axon Enterprise Inc.,Industrials,Aerospace & Defense
AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services
CCEP,Coca-Cola Europacific Partners PLC,Consumer Defensive,Beverages - Non-Alcoholic
CDNS,Cadence Design Systems Inc.,Technology,Software - Application
CDW,CDW Corporation,Technology,Information Technology Services
CEG,Constellation Energy Corporation,Utilities,Utilities - Renewable
CHTR,Charter Communications Inc.,Communication Services,Telecom Services
CMCSA,Comcast Corporation,Communication Services,Telecom Services
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores
CPRT,Copart Inc.,Industrials,Specialty Business Services
CRWD,CrowdStrike Holdings Inc.,Technology,Software - Infrastructure
CSCO,Cisco Systems Inc.,Technology,Communication Equipment
CSGP,CoStar Group Inc.,Real Estate,Real Estate Services
CSX,CSX Corporation,Industrials,Railroads
CTAS,Cintas Corporation,Industrials,Specialty Business Services
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services
DASH,DoorDash Inc.,Consumer Cyclical,Internet Retail
DDOG,Datadog Inc.,Technology,Software - Application
DXCM,DexCom Inc.,Healthcare,Medical Devices
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric
FANG,Diamondback Energy Inc.,Energy,Oil & Gas E&P
FAST,Fastenal Company,Industrials,Industrial Distribution
FTNT,Fortinet Inc.,Technology,Software - Infrastructure
GEHC,GE HealthCare Technologies Inc.,Healthcare,Health Information Services
GFS,GLOBALFOUNDRIES Inc.,Technology,Semiconductors
GILD,Gilead Sciences Inc.,Healthcare,Drug Manufacturers - General
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information
HON,Honeywell International Inc.,Industrials,Conglomerates
IDXX,IDEXX Laboratories Inc.,Healthcare,Diagnostics & Research
INTC,Intel Corporation,Technology,Semiconductors
INTU,Intuit Inc.,Technology,Software - Application
ISRG,Intuitive Surgical Inc.,Healthcare,Medical Instruments & Supplies
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials
LIN,Linde plc,Basic Materials,Specialty Chemicals
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials
LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail
MAR,Marriott International Inc.,Consumer Cyclical,Lodging
MCHP,Microchip Technology Incorporated,Technology,Semiconductors
MDLZ,Mondelez International Inc.,Consumer Defensive,Confectioners
MELI,MercadoLibre Inc.,Consumer Cyclical,Internet Retail
META,Meta Platforms Inc.,Communication Services,Internet Content & Information
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic
MRVL,Marvell Technology Inc.,Technology,Semiconductors
MSFT,Microsoft Corporation,Technology,Software - Infrastructure
MSTR,Strategy Inc,Technology,Software - Application
MU,Micron Technology Inc.,Technology,Semiconductors
NFLX,Netflix Inc.,Communication Services,Entertainment
NVDA,NVIDIA Corporation,Technology,Semiconductors
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors
ODFL,Old Dominion Freight Line Inc.,Industrials,Trucking
ON,ON Semiconductor Corporation,Technology,Semiconductors
ORLY,O'Reilly Automotive Inc.,Consumer Cyclical,Auto Parts
PANW,Palo Alto Networks Inc.,Technology,Software - Infrastructure
PAYX,Paychex Inc.,Technology,Software - Application
PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery
PDD,PDD Holdings Inc.,Consumer Cyclical,Internet Retail
PEP,PepsiCo Inc.,Consumer Defensive,Beverages - Non-Alcoholic
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure
PYPL,PayPal Holdings Inc.,Financial Services,Credit Services
QCOM,QUALCOMM Incorporated,Technology,Semiconductors
REGN,Regeneron Pharmaceuticals Inc.,Healthcare,Biotechnology
ROP,Roper Technologies Inc.,Technology,Software - Application
ROST,Ross Stores Inc.,Consumer Cyclical,Apparel Retail
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants
SHOP,Shopify Inc.,Technology,Software - Application
SNPS,Synopsys Inc.,Technology,Software - Infrastructure
TEAM,Atlassian Corporation,Technology,Software - Application
TMUS,T-Mobile US Inc.,Communication Services,Telecom Services
TRI,Thomson Reuters Corporation,Industrials,Specialty Business Services
TSLA,Tesla Inc.,Consumer Cyclical,Auto Manufacturers
TTD,The Trade Desk Inc.,Communication Services,Advertising Agencies
TTWO,Take-Two Interactive Software Inc.,Communication Services,Electronic Gaming & Multimedia
TXN,Texas Instruments Incorporated,Technology,Semiconductors
VRSK,Verisk Analytics Inc.,Industrials,Consulting Services
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology
WBD,Warner Bros. Discovery Inc.,Communication Services,Entertainment
WDAY,Workday Inc.,Technology,Software - Application
XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric
ZS,Zscaler Inc.,Technology,Software - Infrastructure
