Settore,Nome Indice Settoriale,Ticker TradingView,Ticker
Information Technology,S&P 500 Information Technology,S5INFT,^GSPC
Health Care,S&P 500 Health Care,S5HLTH,^S5HLTH
Energy,S&P 500 Energy,SPN,^SPN
Financials,S&P 500 Financials,SPF,^SPF
Consumer Discretionary,S&P 500 Consumer Discretionary,S5COND,^SP500-25
Industrials,S&P 500 Industrials,S5INDU,^SP500-20
Consumer Staples,S&P 500 Consumer Staples,S5CONS,^SP500-30
Utilities,S&P 500 Utilities,S5UTIL,^SP500-55
Real Estate,S&P 500 Real Estate,S5REAS,^S5REAS
Materials,S&P 500 Materials,S5MATR,^SP500-15
Communication Services,S&P 500 Communication Services,S5TELS,^S5TELS



